Eliminate / Prevent bacteria and fungus.,Text,,eliminate_prevent_bac,N,Y,"Front Loader
Washer & Dryer Combination"
External Hard Disk 2.5,Text,,external_hard_disk_2.5,N,Y,External Hard Disks
Features,Text,,features,N,Y,QLED TV
FERQUENCY RESPONSE,Text,,ferquency_response,N,Y,Headphones
FILE FORMAT,Text,,file_format,N,Y,"Digital Frames & Albums
Camera Accessories"
Filter system,Text,,filter_system,N,Y,Blenders & Juicers
Fingerboard,Text,,finger_board,N,Y,Guitars
FINISH,Text,,finish,N,Y,Guitars
FM Radio Supported,Text,,fm_radio_supported,N,Y,CD Players
Food Steaming Mode,Text,,food_streaming_mode,N,Y,Rice Cookers
For,Text,,for,N,Y,"For TV antenna (Digital box)
Headphones
Other
Visual Cables
Action Camera
Gaming Headset
Watch
Apple Watch
Wearable Technology Accessories
Apple Watch Accessories
Connected Toy
Drone
Macbook Accessories
iPad Accessories
iPhone Accessories
External Device
Power Banks
Chargers/Wall Chargers
Hand Free Kits
Batteries
Others
Bags
Batteries & Chargers
Power Bank
Hand Free Kits
Cases & Covers
Films
Connectors
Filters
Dry Box & Cabinets
Lens Caps
Straps
Tripods
Bags
Gaming Accessories
Hubs
Plug & Connectors
Diskettes
Keyboards
Mouse
Internet Network Hardware
CCTV & IP Cameras
Utilities Bag
Plugs"
For Room size (Sqm.),Text/Dropdown,sqm,for_room_size,Y,Y,"Wall Type (Inverter)
Wall Type (Non-inverter)
Floor/Ceiling Type (Inverter)
Floor/Ceiling Type (Non-inverter)
Portable Air Conditioners
Cassette Type
Service
Air Purifiers Accessories
Air Purifiers"
FOR SAMSUNG MODEL,Text,,for_samsung_mode,N,Y,Camcorder Accessories
FOR USE WITH,Text,,for_use_with,N,Y,Other
For wrist size,Text,,for_wrist_size,N,Y,Apple Watch
FR,Text,,fr,N,Y,Receiver
Freezer Capacity (liter),Text,liter,freezer_capacity,N,Y,"Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator Side-By-Side
Refrigerator 3 Doors"
FREQUENCY,Text,,frequency,N,Y,"Headphones
Speakers
Subwoofers"
FREQUENCY RANGE,Text,,frequency_range,N,Y,Bluetooth Headsets
FREQUENCY RESPONSE,Text,,frequency_response,N,Y,"Hand Free Kits
Headphones
Microphone"
FREQUENCY RES,Text,,frequency_res,N,Y,Other
FREQUENCY STABILITY,Text,,frequency_stability,N,Y,Other
FRETS,Text,,frets,N,Y,Guitars
Function,Text,,function,N,Y,"Toaster
Coffee Maker
Electric Kettle
Cases & Covers
Chargers/Wall Chargers
Power Banks
Bags
Other Accessories"
GAUGE,Text,,gauge,N,Y,Other
GENERAL REQUIREMENTS,Text,,general_requirements,N,Y,Macbook Accessories
GEOMETRY,Text,,geometry,N,Y,Other
Grilling Mode,Text,,grilling_mode,N,Y,"Electric Fan
Hood & HOB
Oven"
